Timestamp,Temperature (°C),Temperature (°F)
2026-01-28 22:23:57,17.00,62.60
2026-01-28 22:23:59,17.06,62.71
2026-01-28 22:24:01,17.06,62.71
2026-01-28 22:24:02,17.06,62.71
2026-01-28 22:24:04,17.06,62.71
2026-01-28 22:24:06,17.06,62.71
2026-01-28 22:24:08,17.06,62.71
2026-01-28 22:24:09,17.06,62.71
2026-01-28 22:24:11,17.12,62.83
2026-01-28 22:24:13,17.25,63.05
2026-01-28 22:24:15,17.25,63.05
2026-01-28 22:24:17,17.31,63.16
2026-01-28 22:24:18,17.38,63.27
2026-01-28 22:24:20,17.44,63.39
2026-01-28 22:24:22,17.50,63.50
2026-01-28 22:24:24,17.56,63.61
2026-01-28 22:24:26,17.56,63.61
2026-01-28 22:24:27,17.62,63.73
2026-01-28 22:24:29,17.69,63.84
2026-01-28 22:24:31,17.69,63.84
2026-01-28 22:24:33,17.75,63.95
2026-01-28 22:24:35,17.81,64.06
2026-01-28 22:24:36,17.81,64.06
2026-01-28 22:24:38,17.81,64.06
2026-01-28 22:24:40,17.88,64.17
2026-01-28 22:24:42,17.94,64.29
2026-01-28 22:24:44,17.94,64.29
2026-01-28 22:24:45,18.00,64.40
2026-01-28 22:24:47,18.00,64.40
2026-01-28 22:24:49,18.06,64.51
2026-01-28 22:24:51,18.06,64.51
2026-01-28 22:24:53,18.12,64.62
2026-01-28 22:24:54,18.12,64.62
2026-01-28 22:24:56,18.12,64.62
2026-01-28 22:24:58,18.12,64.62
2026-01-28 22:25:00,18.19,64.74
2026-01-28 22:25:01,18.19,64.74
2026-01-28 22:25:03,18.19,64.74
2026-01-28 22:25:05,18.19,64.74
2026-01-28 22:25:07,18.25,64.85
2026-01-28 22:25:09,18.25,64.85
2026-01-28 22:25:10,18.25,64.85
2026-01-28 22:25:12,18.25,64.85
2026-01-28 22:25:14,18.25,64.85
2026-01-28 22:25:16,18.31,64.96
2026-01-28 22:25:18,18.31,64.96
2026-01-28 22:25:19,18.31,64.96
2026-01-28 22:25:21,18.31,64.96
2026-01-28 22:25:23,18.31,64.96
2026-01-28 22:25:25,18.38,65.08
2026-01-28 22:25:27,18.31,64.96
2026-01-28 22:25:28,18.38,65.08
2026-01-28 22:25:30,18.38,65.08
2026-01-28 22:25:32,18.38,65.08
2026-01-28 22:25:34,18.38,65.08
2026-01-28 22:25:36,18.38,65.08
2026-01-28 22:25:37,18.38,65.08
