Time [s],v_Rms [m/s],a_Peak [m/s^2],a_Rms [m/s^2],Temperature [C],Crest [-]
1.792121410369873,0,0,0,28,4
4.57431697845459,0,0,0,28,4
7.356336355209351,0,0,0,28,4
8.457266092300415,0,0,0,28,4
11.492770671844482,0,0,0,28,4
14.493102073669434,0,0,0,28,4
15.58706283569336,0,0,0,28,4
18.61903429031372,0,0,0,28,4
19.71464467048645,0,0,0,28,4
22.74536418914795,0,0,0,28,4
25.544681072235107,0,0,0,28,4
26.64029622077942,0,0,0,28,4
27.73997211456299,0,0,0,28,5
29.607556343078613,0,0,0,28,4
32.389079332351685,0,0,0,28,5
35.17711544036865,0,0,0,28,4
37.96173286437988,0,0,0,28,4
40.74755573272705,0,0,0,28,4
41.83653783798218,0,0,0,29,4
42.92633247375488,0,0,0,29,4
44.01644515991211,0,0,0,29,4
47.048073053359985,0,0,0,29,4
49.834336280822754,0,0,0,29,4
52.616204023361206,0,0,0,29,4
55.39627933502197,0,0,0,29,5
56.49239110946655,0,0,0,29,4
59.526469707489014,0,0,0,29,4
