time(s),Acceleration(g),Voltage(V),Current(kA)
0.01,-0.017962,-0.010766,-0.0057844
0.010078,-0.094246,0.022769,0.0017702
0.010156,-0.10397,-0.086215,-0.0081539
0.010234,-0.10359,0.16599,0.005673
0.010313,-0.10322,-0.9258,-0.033911
0.010391,-0.10472,-2.1448,-0.27447
0.010469,0.010083,-1.7729,-0.53352
0.010547,-0.015719,-1.7191,-0.74691
0.010625,-0.04339,-1.7296,-0.96419
0.010703,0.17237,-1.6657,-1.1474
0.010781,0.1346,-1.7224,-1.3171
0.010859,0.20677,-1.6548,-1.4618
0.010938,0.36645,-1.6944,-1.5867
0.011016,0.30736,-1.673,-1.6953
0.011094,0.42366,-1.699,-1.7865
0.011172,0.48199,-1.6913,-1.8657
0.01125,0.50443,-1.6725,-1.9258
0.011328,0.5867,-1.6762,-1.9748
0.011406,0.52986,-1.64,-2.0109
0.011484,0.18546,-1.6145,-2.0366
0.011562,-0.058348,-1.55,-2.0508
0.011641,0.25015,-1.5104,-2.0501
0.011719,0.17312,-1.4738,-2.0413
0.011797,-0.22737,-1.3882,-2.022
0.011875,-0.31599,-1.3301,-1.9932
0.011953,-0.28458,-1.2707,-1.9588
0.012031,-0.074801,-1.1698,-1.9151
0.012109,0.054956,-1.0775,-1.8621
0.012188,0.16602,-0.99524,-1.8024
0.012266,0.15405,-0.89859,-1.736
0.012344,0.068417,-0.80748,-1.6624
0.012422,0.075148,-0.69655,-1.5813
0.0125,-0.12192,-0.5831,-1.4919
0.012578,-0.1537,-0.48294,-1.3986
0.012656,-0.18287,-0.3734,-1.301
0.012734,-0.36872,-0.27966,-1.2007
0.012813,-0.534,-0.12865,-1.0931
0.012891,-0.74826,-0.0094166,-0.97677
0.012969,-0.79987,0.15561,-0.85315
0.013047,-0.81146,0.28404,-0.71808
0.013125,-0.74452,0.39083,-0.58441
0.013203,-0.57401,0.55665,-0.44063
0.013281,-0.55606,0.60086,-0.3031
0.013359,-0.4981,0.90587,-0.15184
0.013437,-0.39676,0.60921,-0.01079
0.013516,-0.313,-0.054911,0.0088823
0.013594,-0.15632,0.038473,-0.006688
0.013672,-0.016841,0.035163,0.0010166
0.01375,0.13086,0.00092317,-0.0040785
0.013828,0.13012,0.035538,-0.0010267
0.013906,0.078514,-0.0093116,-0.002129
0.013984,0.076644,0.030405,-0.0019115
0.014063,-0.060591,0.001418,-0.00098922
